                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.6   16.4  17:20    9.6  06:35    4.8    0.0   0.00    6.0   30.6  01:08    206
 02   15.0   18.6  12:53   11.3  06:43    3.3    0.0   0.00    5.8   25.7  16:45    284
 03   14.6   16.4  13:42   12.6  23:42    3.7    0.0   0.18    2.9   19.3  00:00     37
 04   15.1   18.2  15:20   11.4  06:28    3.2    0.0   0.02    4.1   17.7  10:46    223
 05   16.9   19.5  11:43   14.2  07:11    1.4    0.0   0.00    7.7   27.4  10:08     58
 06   17.6   21.0  14:13   15.2  23:59    0.7    0.0   0.00    6.2   27.4  17:50     62
 07   16.7   18.9  10:15   13.6  06:40    1.7    0.0   0.00    4.4   17.7  09:25     89
 08   17.0   19.3  14:10   13.4  07:09    1.3    0.0   0.00    3.8   14.5  05:19    246
 09   16.2   17.8  14:28   14.3  06:04    2.1    0.0   0.00    4.7   16.1  07:16    164
 10   17.1   19.3  17:43   14.6  06:55    1.3    0.0   0.00    3.8   16.1  15:01     89
 11   17.6   20.6  18:04   15.4  11:29    0.8    0.0   0.40    4.7   22.5  14:28    297
 12   18.8   24.4  12:01   14.4  05:59    0.0    0.5   0.00    6.6   33.8  17:00    250
 13   18.6   22.8  17:36   15.9  05:26    0.0    0.3   0.00    5.2   27.4  18:28    225
 14   19.2   24.1  10:47   16.5  03:37    0.0    0.8   0.00    3.0   17.7  11:20    147
 15   20.6   24.5  16:31   16.1  06:18    0.0    2.3   0.00    2.7   17.7  00:49    237
 16   19.8   23.8  11:11   17.2  04:37    0.0    1.4   0.00    3.1   22.5  12:59    155
 17   19.8   23.8  12:54   16.1  06:53    0.0    1.4   0.00    3.0   12.9  13:22    217
 18   18.9   21.4  14:15   15.6  23:38    0.0    0.5   0.02    4.8   25.7  22:17    104
 19   16.5   18.9  14:40   14.0  02:07    1.9    0.0   0.10    8.2   29.0  13:50    189
 20   16.6   18.6  17:44   13.3  06:48    1.7    0.0   0.02    7.0   24.1  15:01    156
 21   18.0   21.3  18:36   13.7  07:02    0.3    0.0   0.00    4.3   17.7  03:36    238
 22   19.8   22.4  15:33   16.4  06:49    0.0    1.5   0.00    3.8   16.1  00:40    233
 23   20.3   23.3  18:05   16.8  06:04    0.0    2.0   0.00    3.5   16.1  16:26    233
 24   21.6   24.2  15:33   18.4  06:28    0.0    3.3   0.00    3.0   12.9  06:35    227
 25   22.9   25.8  09:21   18.9  06:18    0.0    4.5   0.00    3.1   12.9  17:07    228
 26   19.6   20.7  09:37   17.3  07:06    0.0    1.2   0.00    5.5   27.4  11:31    117
 27   20.1   22.7  09:46   18.4  03:56    0.0    1.8   0.00    5.7   22.5  03:27    105
 28   19.8   23.1  18:12   16.5  06:51    0.0    1.4   0.00    2.9    9.7  10:32    179
 29   21.1   23.7  12:35   17.8  05:49    0.0    2.8   0.00    3.5   11.3  00:30    240
 30   20.4   23.4  14:52   17.9  10:57    0.0    2.0   0.08    4.0   19.3  11:42      8
 31   20.5   23.5  11:38   17.1  06:03    0.0    2.2   0.00    4.3   25.7  07:11     13
---------------------------------------------------------------------------------------
      18.4   25.8     25    9.6     01   28.2   30.0   0.82    4.6   33.8     12    180
    
