                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    5.7    9.6  10:13    2.3  23:44   12.7    0.0   0.50    7.0   41.8  14:35      3
 02    5.8    9.7  14:52    2.1  07:56   12.6    0.0   0.00    5.4   30.6  17:10    356
 03    8.5   13.2  15:13    4.2  06:16    9.9    0.0   0.00    5.9   25.7  22:28    341
 04    9.6   13.3  16:00    5.8  07:26    8.7    0.0   0.00    4.9   20.9  00:00    352
 05    9.6   13.9  15:19    6.6  04:41    8.7    0.0   0.00    4.8   17.7  23:45    343
 06   10.4   14.6  13:18    6.5  05:21    7.9    0.0   0.00    4.8   19.3  14:09    326
 07   12.6   16.6  12:49    9.6  23:37    5.7    0.0   0.00    6.2   24.1  12:39    304
 08   11.1   13.6  15:27    8.1  08:37    7.3    0.0   0.02    3.9   27.4  04:20    320
 09    9.7   12.0  20:33    7.3  09:20    8.7    0.0   0.10    5.3   24.1  20:27    358
 10   13.6   16.4  14:45    9.2  00:00    4.7    0.0   0.00    8.2   37.0  14:31    263
 11   13.6   16.0  08:39    8.7  23:24    4.7    0.0   0.20    7.3   43.5  06:09    276
 12    9.3   12.4  12:37    7.0  07:00    9.0    0.0   0.08    7.7   30.6  15:52      3
 13    9.7   11.9  13:32    7.1  06:18    8.7    0.0   0.00    7.4   40.2  13:08    305
 14   12.6   14.7  16:18   10.5  05:42    5.8    0.0   0.00    4.8   30.6  02:06    288
 15   11.1   14.1  10:40    7.6  23:46    7.2    0.0   0.04    4.0   24.1  11:27      8
 16    9.4   13.3  15:50    6.4  04:21    8.9    0.0   0.00    5.8   33.8  21:01      2
 17    9.1   14.5  13:45    4.9  06:07    9.3    0.0   0.00    4.6   20.9  02:32    356
 18    9.2   11.3  11:51    6.7  21:26    9.1    0.0   0.22    5.4   32.2  22:40    354
 19    9.4   12.1  15:07    7.9  23:45    8.9    0.0   0.00   12.8   59.5  04:10     39
 20    9.6   12.1  17:04    6.2  05:59    8.8    0.0   0.00    6.4   35.4  19:26     28
 21   11.5   14.2  15:30    9.0  23:59    6.9    0.0   0.00    3.7   14.5  11:45    341
 22   11.6   16.1  15:12    8.1  03:37    6.8    0.0   0.00    3.1   12.9  05:11      5
 23   11.3   15.1  13:41    8.7  05:45    7.0    0.0   0.00    4.0   17.7  07:02    349
 24   10.5   14.8  15:45    6.8  07:50    7.9    0.0   0.00    3.9   12.9  02:44    340
 25   13.1   16.7  14:40    9.3  01:55    5.3    0.0   0.00    5.9   24.1  11:14    299
 26   11.3   14.4  12:38    8.6  22:12    7.1    0.0   0.00    5.0   30.6  23:30    252
 27   10.6   14.8  15:28    7.3  23:21    7.8    0.0   0.06   10.1   51.5  12:33    305
 28    7.6   10.9  15:08    4.0  07:25   10.7    0.0   0.00    3.9   14.5  00:00    347
 29    9.4   13.4  15:01    6.6  06:23    8.9    0.0   0.00    5.8   30.6  12:42    335
 30   14.8   19.5  14:01   11.3  01:58    3.5    0.0   0.00    5.0   33.8  03:13    293
 31   13.5   16.6  17:20    9.6  06:29    4.9    0.0   0.00    5.1   30.6  18:42    278
---------------------------------------------------------------------------------------
      10.5   19.5     30    2.1     02  244.0    0.0   1.22    5.7   59.5     19    334
    
