                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   23.7   25.4  12:01   20.2  06:30    0.0    5.4   0.00    3.8   16.1  12:20    137
 02   24.0   26.8  18:28   21.1  06:00    0.0    5.7   0.00    3.1   19.3  12:09    181
 03   25.4   28.2  18:05   22.1  05:39    0.0    7.1   0.00    3.3   19.3  17:23    232
 04   24.8   27.1  18:32   21.6  07:12    0.0    6.4   0.00    3.5   19.3  10:00    174
 05   24.5   26.6  12:15   22.2  06:34    0.0    6.2   0.00    6.1   27.4  01:39    266
 06   24.2   26.4  18:27   22.3  07:14    0.0    5.9   0.00    4.1   19.3  13:37    200
 07   25.0   27.8  16:02   22.1  04:12    0.0    6.6   0.00    3.4   17.7  17:10    241
 08   26.4   29.9  16:09   21.9  06:17    0.0    8.1   0.00    3.0   14.5  02:01    241
 09   25.7   28.7  15:48   22.6  23:28    0.0    7.3   0.32    3.3   22.5  22:23    228
 10   25.4   28.9  15:33   21.6  01:06    0.0    7.1   0.00    3.2   17.7  01:08    237
 11   25.6   29.2  14:36   22.4  06:15    0.0    7.3   0.00    2.7   16.1  17:01    194
 12   25.0   29.1  11:13   22.6  06:24    0.0    6.6   0.00    4.7   27.4  14:34     74
 13   24.9   27.9  10:28   22.2  06:54    0.0    6.6   0.00    2.7   22.5  16:00    110
 14   26.0   29.2  16:26   23.3  03:25    0.0    7.7   0.00    3.1   27.4  05:58    211
 15   25.8   28.9  16:30   21.9  06:37    0.0    7.5   0.00    2.7   14.5  21:12    222
 16   24.6   26.7  04:54   21.0  12:25    0.0    6.3   0.30    4.5   35.4  10:57    351
 17   25.7   28.8  10:23   21.9  06:33    0.0    7.4   0.00    6.2   24.1  07:44    286
 18   25.5   28.7  15:40   22.2  04:55    0.0    7.2   0.00    3.6   16.1  09:45    249
 19   25.3   28.4  15:27   21.7  05:48    0.0    6.9   0.00    4.1   16.1  17:00    218
 20   25.5   27.4  18:22   22.3  06:37    0.0    7.2   0.00    3.8   16.1  13:22    168
 21   25.1   27.9  12:37   21.3  23:55    0.0    6.8   0.26    6.2   27.4  12:45    232
 22   22.5   26.1  18:20   18.4  19:50    0.0    4.2   1.34    5.1   37.0  19:10    322
 23   24.5   27.8  17:20   20.0  07:00    0.0    6.2   0.00    5.3   24.1  03:30    267
 24   25.8   28.6  15:32   23.1  06:33    0.0    7.5   0.00    4.9   22.5  10:47    242
 25   26.5   30.2  14:01   22.1  06:40    0.0    8.2   0.00    3.1   16.1  18:09    262
 26   27.4   30.0  16:06   24.1  07:10    0.0    9.1   0.00    4.0   19.3  12:57    267
 27   26.7   29.1  16:19   23.2  07:13    0.0    8.3   0.00    4.4   24.1  14:48    248
 28   26.3   28.7  14:06   24.4  01:57    0.0    8.0   0.00    3.3   16.1  00:16    210
 29   26.1   29.7  16:38   22.7  06:42    0.0    7.7   0.00    2.8   17.7  17:07    234
 30   26.8   30.0  15:03   23.7  06:29    0.0    8.5   0.00    1.7    9.7  15:45    232
 31   27.3   29.9  19:58   24.2  06:19    0.0    9.0   0.00    2.0   12.9  15:11    157
---------------------------------------------------------------------------------------
      25.4   30.2     25   18.4     22    0.0  219.7   2.22    3.8   37.0     22    235
    
