                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.6   22.4  16:39   17.3  23:59    0.0    2.2   0.00    6.2   33.8  21:04     23
 02   19.5   24.6  15:12   15.0  07:13    0.0    1.1   0.00    5.2   25.7  00:25    306
 03   21.1   25.1  13:59   16.9  07:04    0.0    2.8   0.00    4.9   22.5  15:07    308
 04   20.8   24.6  12:22   17.1  07:02    0.0    2.4   0.00    6.1   27.4  23:39     42
 05   20.9   22.9  09:37   18.0  07:09    0.0    2.6   0.00    5.1   24.1  00:00     56
 06   21.1   24.3  15:36   17.5  05:59    0.0    2.7   0.00    5.2   22.5  18:58    237
 07   17.2   21.8  00:32   13.8  23:26    1.1    0.0   0.90    5.5   30.6  06:07     10
 08   16.5   19.8  17:09   13.0  07:20    1.8    0.0   0.12    6.4   46.7  23:11     18
 09   19.3   22.8  15:56   16.4  21:17    0.0    1.0   4.76   13.0   49.9  00:41     33
 10   19.2   22.9  13:43   16.8  06:41    0.0    0.9   2.20    7.8   35.4  09:19     35
 11   20.7   24.4  16:23   16.9  07:51    0.0    2.4   0.00    3.4   17.7  16:17    281
 12   21.6   24.9  17:02   18.6  06:41    0.0    3.3   0.00    2.5   12.9  00:09    286
 13   21.5   22.4  13:28   20.4  02:33    0.0    3.2   0.26    2.5   22.5  23:01    182
 14   21.6   22.8  13:15   20.7  01:47    0.0    3.3   0.16   12.2   49.9  22:54    170
 15   20.1   21.8  13:10   17.2  23:43    0.0    1.8   1.22    8.2   61.2  01:41    159
 16   18.7   22.7  13:48   15.8  03:55    0.0    0.4   0.00    7.2   29.0  10:54     23
 17   19.6   21.6  12:00   18.2  02:50    0.0    1.3   0.00   13.6   41.8  06:17     30
 18   19.8   21.0  23:19   18.1  10:44    0.0    1.5   0.22   18.4   56.3  20:18     34
 19   21.5   23.4  14:35   20.2  07:39    0.0    3.1   0.00   20.4   56.3  03:51     30
 20   20.8   24.3  15:36   18.4  23:48    0.0    2.5   0.36   11.6   41.8  06:20     33
 21   19.7   22.9  14:44   16.7  06:16    0.0    1.4   0.00    3.2   16.1  01:15    304
 22   19.0   22.1  12:38   16.3  03:54    0.0    0.7   0.00    9.0   64.4  08:29     41
 23   17.8   21.7  15:52   14.5  06:39    0.5    0.0   0.00    4.2   17.7  12:44    292
 24   19.1   25.2  16:01   14.4  08:13    0.0    0.7   0.00    3.2   24.1  04:05    335
 25   19.0   23.2  15:37   15.6  06:00    0.0    0.7   0.00    2.9   19.3  10:58    358
 26   18.0   21.0  15:11   15.2  07:15    0.3    0.0   0.00    2.7   12.9  14:32    333
 27   14.0   18.6  01:06   10.7  20:23    4.4    0.0   1.62    8.4   57.9  16:05     29
 28   10.2   11.9  17:08    8.3  12:12    8.1    0.0   0.66    2.9   19.3  12:25      6
 29   10.1   12.1  14:57    8.5  22:06    8.3    0.0   0.02    7.0   27.4  04:15    342
 30   12.1   17.3  14:01    6.2  07:15    6.2    0.0   0.04    6.6   29.0  11:06    308
 31   14.3   17.5  12:32   10.4  21:59    4.0    0.0   1.86   11.6   64.4  09:07    195
---------------------------------------------------------------------------------------
      18.6   25.2     24    6.2     30   34.8   42.0  14.40    7.3   64.4     22     25
    
