                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.6   17.0  14:10   10.3  07:20    4.7    0.0   0.20    5.0   25.7  02:03      3
 02   14.9   18.9  13:34   12.1  05:53    3.5    0.0   0.00    6.3   27.4  11:25     11
 03   15.0   18.1  16:17   10.7  07:10    3.4    0.0   0.00    4.1   22.5  18:32    336
 04   16.8   19.5  13:13   14.3  03:51    1.5    0.0   0.00    2.6   14.5  01:55    293
 05   17.0   19.6  12:20   14.6  22:27    1.3    0.0   0.54    6.5   53.1  19:59    192
 06   14.3   16.8  15:25   11.6  08:00    4.1    0.0   0.24    6.7   33.8  13:35    259
 07   15.5   18.7  11:36   12.9  05:19    2.8    0.0   0.00    6.6   27.4  00:23    257
 08   15.4   17.5  11:34   12.7  00:24    2.9    0.0   0.00    2.7   16.1  04:51      4
 09   15.5   19.1  14:03   12.2  23:36    2.8    0.0   1.16    6.1   33.8  11:59     15
 10   15.1   18.5  14:46   10.6  05:39    3.2    0.0   0.00    7.4   35.4  12:19    247
 11   18.0   21.3  12:11   15.6  00:36    0.3    0.0   0.00    4.6   32.2  03:53    240
 12   17.7   19.7  12:25   14.9  07:42    0.6    0.0   0.00    4.3   22.5  23:45     38
 13   18.7   20.9  13:56   17.5  03:04    0.0    0.3   0.00   13.7   40.2  07:43     33
 14   18.2   20.2  12:00   17.3  06:28    0.1    0.0   0.00    6.9   29.0  01:12     43
 15   17.4   19.1  13:38   14.9  21:57    0.9    0.0   1.04    7.5   27.4  21:45     39
 16   15.9   17.3  15:24   13.7  03:33    2.5    0.0   0.32    7.0   27.4  11:22     22
 17   14.3   15.7  00:00   11.8  23:54    4.0    0.0   1.16   10.3   29.0  07:00     23
 18   12.5   15.4  20:08   10.8  07:32    5.8    0.0   2.56   14.0   41.8  17:39     39
 19   12.8   14.9  13:30   11.2  23:32    5.6    0.0   0.22   12.8   35.4  04:49     27
 20   12.7   15.7  16:49    9.8  03:58    5.6    0.0   0.24    4.3   37.0  21:04    341
 21   13.3   18.4  15:51    9.1  07:57    5.1    0.0   0.00    4.8   30.6  12:25    315
 22   14.7   18.8  13:42   11.2  03:49    3.7    0.0   0.00    3.6   17.7  04:15    327
 23   13.4   15.6  14:07    9.9  23:11    4.9    0.0   0.12    3.3   22.5  20:01    342
 24   11.8   15.8  15:55    8.6  04:29    6.5    0.0   0.02    4.6   24.1  22:23    348
 25   12.6   16.6  15:05   10.2  04:05    5.8    0.0   0.00    6.3   35.4  06:48    295
 26   11.3   14.5  16:26    9.6  22:57    7.0    0.0   0.28    6.1   32.2  09:58    347
 27   11.6   15.8  14:51    7.6  04:24    6.8    0.0   0.00    5.6   24.1  00:10    349
 28   13.0   17.4  13:33    9.9  04:48    5.3    0.0   0.00    4.4   17.7  06:26    339
 29   13.5   16.2  12:07   10.7  07:01    4.9    0.0   0.00    5.6   22.5  12:50    313
 30   12.6   14.1  11:57   10.0  23:14    5.7    0.0   0.00    3.9   17.7  11:48    354
---------------------------------------------------------------------------------------
      14.6   21.3     11    7.6     27  111.2    0.3   8.10    6.3   53.1     05      1
    
