                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2019


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.9   16.2  12:15   10.3  02:38    5.4    0.0   0.00    1.8   17.7  14:05    235
 02   11.2   15.8  16:19    7.8  05:02    7.1    0.0   0.00    3.4   16.1  22:08    356
 03   10.2   14.5  11:41    7.3  06:42    8.1    0.0   0.00    4.5   20.9  01:33    340
 04    9.3   12.2  15:50    6.5  22:13    9.0    0.0   0.00    5.5   20.9  11:40      9
 05   10.6   15.7  16:11    6.2  05:40    7.7    0.0   0.00    4.1   22.5  08:14    337
 06   13.3   19.1  16:40    8.8  03:31    5.0    0.0   0.00    3.9   20.9  04:52    352
 07   11.9   15.6  13:55    9.2  01:19    6.4    0.0   0.00    5.0   25.7  12:03    309
 08   10.0   12.7  14:44    6.2  07:48    8.3    0.0   0.00    4.6   19.3  21:11    348
 09    9.9   13.3  12:20    6.9  08:23    8.4    0.0   0.00    9.4   62.8  21:48     21
 10    7.6   10.8  14:19    4.1  07:58   10.7    0.0   0.00    7.5   33.8  14:52     21
 11    6.2   10.4  16:46    2.3  06:20   12.2    0.0   0.00    4.5   20.9  22:50    338
 12    8.1   12.2  14:24    4.2  05:36   10.2    0.0   0.00    5.0   16.1  00:00    359
 13    9.6   14.3  14:27    5.5  01:36    8.7    0.0   0.00    4.6   25.7  05:18    348
 14   11.8   16.5  14:35    8.5  01:17    6.5    0.0   0.00    4.2   16.1  18:11      2
 15   10.6   13.6  12:55    7.6  07:55    7.7    0.0   0.00    3.7   17.7  05:51    351
 16   11.2   14.7  15:15    7.0  03:54    7.1    0.0   0.00    5.4   27.4  15:26    293
 17   12.2   14.2  12:07    9.9  08:37    6.1    0.0   0.00    4.6   17.7  05:25    351
 18    9.7   12.0  12:20    6.7  21:12    8.7    0.0   0.00    4.8   22.5  00:58    327
 19    9.8   13.2  13:55    7.3  06:45    8.6    0.0   0.00    4.9   19.3  01:52    343
 20    9.0    9.8  02:02    8.1  11:20    9.3    0.0   0.96   11.5   49.9  19:43     32
 21    9.1   12.7  12:54    5.9  08:10    9.2    0.0   0.00    6.2   35.4  00:00    358
 22    8.2   11.0  13:07    5.6  05:57   10.1    0.0   0.00    4.5   22.5  05:40    326
 23    7.9   11.3  14:05    5.2  08:15   10.4    0.0   0.00    7.3   40.2  18:50    351
 24    9.2   13.8  15:54    5.4  07:11    9.1    0.0   0.00    8.5   41.8  02:48    340
 25    9.6   14.3  13:25    5.0  07:38    8.7    0.0   0.00    4.4   20.9  05:35    342
 26   11.2   14.8  12:02    7.2  07:05    7.2    0.0   0.00    4.4   24.1  17:00    315
 27   10.7   14.7  14:15    7.1  23:33    7.7    0.0   0.00    4.0   19.3  11:35    334
 28    9.1   14.2  15:46    5.4  08:21    9.3    0.0   0.00    5.9   38.6  16:30    347
 29    8.5   10.6  11:35    5.9  02:52    9.9    0.0   0.00    5.2   32.2  20:23    308
 30    9.6   13.9  16:09    5.2  07:46    8.7    0.0   0.00    6.5   33.8  03:08    301
 31   12.7   17.3  16:25    9.2  06:38    5.6    0.0   0.00    9.1   32.2  07:31    281
---------------------------------------------------------------------------------------
      10.0   19.1     06    2.3     11  257.4    0.0   0.96    5.4   62.8     09    345
    
