                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2019


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.1   15.4  17:15    9.6  23:59    5.2    0.0   0.00    6.6   57.9  23:46    262
 02    8.9   11.9  16:03    5.3  07:32    9.5    0.0   0.00    5.7   43.5  00:27    330
 03    8.4   13.2  16:52    3.9  06:51   10.0    0.0   0.00    6.0   29.0  20:37    330
 04    8.4   11.9  16:58    3.4  07:08    9.9    0.0   0.00    4.7   20.9  00:12    345
 05   10.7   14.6  16:13    7.4  06:04    7.6    0.0   0.00    3.4   12.9  19:27    326
 06   11.1   14.2  17:15    7.7  06:40    7.2    0.0   0.00    3.6   14.5  20:39    325
 07   10.6   13.4  16:21    8.4  07:57    7.7    0.0   0.00    2.7   16.1  10:51    353
 08   11.8   14.9  15:06    8.6  08:37    6.5    0.0   0.00    5.5   27.4  16:32    247
 09   11.5   15.4  14:02    7.9  07:47    6.8    0.0   0.00    3.7   20.9  00:00    307
 10   14.0   19.6  16:35   10.5  00:08    4.3    0.0   0.00    8.6   35.4  13:26    280
 11   12.6   15.1  13:16    9.9  22:29    5.8    0.0   0.00    3.8   19.3  13:32    305
 12   11.1   14.8  14:01    7.6  07:54    7.3    0.0   0.00    5.3   20.9  14:34    304
 13   10.4   13.7  12:40    6.4  06:21    7.9    0.0   0.00    5.2   20.9  09:50     22
 14   10.9   13.9  14:25    8.3  07:36    7.4    0.0   0.00    6.1   20.9  14:52    282
 15   10.2   14.0  15:28    5.9  07:14    8.2    0.0   0.00    4.7   17.7  13:57    293
 16    9.8   14.1  16:23    6.5  02:47    8.5    0.0   0.00    4.4   14.5  19:47    353
 17   11.1   14.9  12:23    7.2  01:54    7.3    0.0   0.00    3.8   12.9  06:22    325
 18   11.8   15.2  13:17    8.6  07:04    6.5    0.0   0.00    4.0   16.1  02:44    331
 19   11.9   14.1  15:28    8.8  04:55    6.4    0.0   0.00    5.0   20.9  01:16    170
 20   12.6   15.8  12:14    9.9  23:42    5.7    0.0   0.00    3.8   16.1  14:48    280
 21   11.4   14.4  15:12    7.3  07:37    7.0    0.0   0.00    4.5   16.1  18:02    292
 22   13.2   18.2  21:28    8.1  04:22    5.1    0.0   0.00    3.1   17.7  06:40    324
 23   14.4   18.1  12:47   11.1  06:09    3.9    0.0   0.00    4.5   20.9  22:49     45
 24   12.7   15.7  10:55    9.7  23:27    5.7    0.0   0.00    4.9   25.7  11:49     64
 25   11.7   15.2  14:42    8.2  04:43    6.6    0.0   0.00    4.0   16.1  03:05    310
 26   12.7   17.2  10:34    8.9  06:24    5.6    0.0   0.00    3.3   16.1  09:59    336
 27   12.4   16.4  15:45    8.6  05:27    6.0    0.0   0.00    3.7   12.9  18:45    312
 28   13.3   18.3  17:21    9.4  07:09    5.1    0.0   0.00    3.4   12.9  05:23     10
---------------------------------------------------------------------------------------
      11.5   19.6     10    3.4     04  190.6    0.0   0.00    4.6   57.9     01    314
    
