                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2019


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.7   16.0  14:19    9.8  04:38    5.7    0.0   0.00    4.2   20.9  15:03    294
 02   13.2   16.0  14:27   11.1  03:00    5.2    0.0   0.00    3.6   17.7  22:40    288
 03   13.3   16.4  14:14    8.8  06:44    5.1    0.0   0.00    5.0   27.4  17:26    246
 04   14.7   20.2  13:09   11.9  03:12    3.6    0.0   0.00    5.0   30.6  13:50    318
 05   13.2   16.1  15:27   10.7  02:25    5.1    0.0   0.00    5.2   20.9  07:57    301
 06   13.5   15.7  15:14   11.3  03:53    4.9    0.0   0.04    3.7   25.7  15:02    255
 07   13.4   16.2  12:33    9.8  07:45    5.0    0.0   0.00    6.8   24.1  03:54    218
 08   12.2   15.3  10:24    8.8  05:05    6.1    0.0   0.00    4.2   16.1  05:08    319
 09   12.6   16.7  14:46    8.4  06:46    5.7    0.0   0.00    3.5   14.5  15:19    280
 10   14.1   17.9  15:25   10.2  06:50    4.2    0.0   0.00    4.0   19.3  14:38     31
 11   14.4   16.6  10:25   11.6  23:59    3.9    0.0   0.00    4.7   25.7  17:09    250
 12   13.6   16.4  14:20   10.7  00:25    4.7    0.0   0.00    5.7   33.8  15:55    247
 13   11.9   13.6  04:29   10.1  10:44    6.4    0.0   0.14    4.7   30.6  21:00    202
 14   12.5   14.9  15:29    9.7  07:50    5.8    0.0   0.00    4.6   22.5  03:30    268
 15   12.6   15.4  13:57    9.4  06:53    5.7    0.0   0.00    4.0   12.9  05:37      4
 16   13.1   16.9  14:25    9.1  05:12    5.2    0.0   0.00    4.6   24.1  14:20    262
 17   13.8   16.9  17:07   10.9  06:48    4.5    0.0   0.00    5.1   37.0  10:30    317
 18   12.1   14.6  10:51    9.0  07:28    6.2    0.0   0.14    4.3   22.5  01:11    267
 19   12.5   16.2  12:59    9.7  23:11    5.8    0.0   0.00    7.6   40.2  16:56     25
 20   12.3   16.3  12:54    9.3  23:58    6.0    0.0   0.00   10.8   41.8  10:04     39
 21   13.0   16.3  11:50    8.3  00:56    5.3    0.0   0.00    7.7   37.0  09:59     59
 22   15.6   19.2  11:37   11.6  23:11    2.7    0.0   0.00    9.3   35.4  09:58     38
 23   14.8   18.8  15:46    9.8  06:53    3.5    0.0   0.00    3.3   24.1  21:43    291
 24   16.5   19.7  11:29   12.7  05:15    1.8    0.0   0.00    3.1   17.7  21:08    322
 25   14.7   17.6  13:30   12.2  04:30    3.7    0.0   0.00    4.1   25.7  16:40     36
 26   15.0   20.3  13:19   10.6  23:42    3.4    0.0   0.00    7.6   49.9  16:01     31
 27   12.8   15.2  11:09   10.0  06:30    5.5    0.0   0.00    5.7   27.4  04:55    193
 28   13.6   15.9  09:08   10.5  00:02    4.7    0.0   0.00    5.4   25.7  01:54     29
 29   12.9   15.7  12:25    9.3  03:53    5.4    0.0   0.00    4.9   17.7  11:46     81
 30   12.3   15.0  13:57    9.0  04:49    6.0    0.0   0.00    5.8   17.7  16:02    139
 31   13.3   15.4  16:12   10.6  01:12    5.0    0.0   0.00    6.2   29.0  12:20     56
---------------------------------------------------------------------------------------
      13.4   20.3     26    8.3     21  152.1    0.0   0.32    5.3   49.9     26      7
    
