                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.3   15.3  13:00    9.3  05:20    6.1    0.0   0.00    4.3   17.7  12:50    278
 02   12.4   14.2  13:36   11.3  07:56    5.9    0.0   0.00    6.5   30.6  17:29    257
 03   12.9   16.4  15:44   10.1  05:40    5.4    0.0   0.00    6.7   43.5  16:03    270
 04   14.6   20.0  14:39   10.7  01:40    3.8    0.0   0.00    6.0   38.6  14:42    266
 05   13.5   16.4  10:52    9.9  23:58    4.8    0.0   0.00    8.1   41.8  12:39    294
 06   13.6   18.8  15:15    8.1  03:07    4.7    0.0   0.00    8.2   62.8  08:29    339
 07   13.0   15.7  15:20    9.7  23:53    5.3    0.0   0.38    4.0   27.4  23:13      6
 08   10.1   13.6  14:36    7.6  06:35    8.2    0.0   0.24    5.6   30.6  03:18      7
 09    9.6   13.6  15:24    5.4  05:25    8.7    0.0   0.00    4.7   17.7  16:03    322
 10   10.5   13.6  11:06    8.3  05:45    7.8    0.0   0.00    4.8   16.1  00:28    337
 11   11.9   14.8  14:07    8.4  01:34    6.4    0.0   0.00    7.5   30.6  20:11     38
 12   13.5   14.4  14:09   12.7  00:25    4.8    0.0   0.02   11.0   35.4  21:14     54
 13   13.8   14.4  11:33   13.2  17:13    4.6    0.0   0.64   11.7   37.0  06:41     61
 14   13.7   15.4  16:25   12.0  07:01    4.6    0.0   0.40    5.9   27.4  01:48    137
 15   14.0   16.7  13:40   12.4  23:42    4.3    0.0   0.04    8.5   30.6  09:09     37
 16   13.0   15.8  15:49   10.6  07:27    5.3    0.0   0.00    3.2   12.9  06:58    318
 17   11.8   15.2  15:56    8.6  06:18    6.5    0.0   0.00    3.6   17.7  14:58    304
 18   12.0   14.9  10:28    8.6  06:41    6.4    0.0   0.00    3.6   12.9  18:31     60
 19   13.0   16.2  13:05   10.3  00:23    5.3    0.0   0.00    9.0   40.2  09:05     33
 20   11.9   15.4  14:46    8.6  07:18    6.4    0.0   0.00    3.1   17.7  15:44    308
 21   12.0   15.6  15:43    8.3  05:46    6.3    0.0   0.00    3.5   17.7  16:46    320
 22   13.0   16.1  15:46    9.8  04:44    5.3    0.0   0.00    3.9   14.5  15:40    349
 23   13.8   17.0  14:02   10.3  02:58    4.5    0.0   0.00    3.5   20.9  07:46    288
 24   12.3   13.8  00:00    9.9  23:20    6.0    0.0   0.46    3.3   25.7  02:30     21
 25   11.1   14.5  14:08    7.8  07:31    7.3    0.0   0.00    3.8   17.7  23:05    308
 26   12.2   15.1  15:09    8.3  07:22    6.1    0.0   0.00    5.9   24.1  13:00    268
 27   13.3   16.3  14:17   10.9  01:58    5.0    0.0   0.00    6.7   29.0  20:14    264
 28   14.4   18.3  16:10   11.7  02:03    3.9    0.0   0.00    7.7   43.5  13:30    293
---------------------------------------------------------------------------------------
      12.6   20.0     04    5.4     09  160.0    0.0   2.18    5.9   62.8     06    344
    
