                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.2   14.6  01:58    9.8  17:31    6.1    0.0   0.96    6.6   46.7  11:13      6
 02   12.2   16.3  16:45    8.4  07:51    6.2    0.0   0.00    4.4   19.3  06:20    327
 03   14.6   18.6  16:27   11.2  07:29    3.8    0.0   0.08    3.1   19.3  00:17    278
 04   15.7   19.7  14:57   11.1  07:24    2.7    0.0   0.00    2.8   19.3  16:22    239
 05   15.6   18.9  13:00   12.4  22:41    2.8    0.0   0.08    5.3   25.7  09:06    332
 06   14.8   18.8  16:04   11.3  07:04    3.5    0.0   0.00    4.3   17.7  00:50    318
 07   14.8   17.9  11:00   11.1  04:50    3.5    0.0   0.00    4.1   16.1  01:14    286
 08   14.9   18.4  14:28   11.2  07:20    3.4    0.0   0.00    3.9   16.1  13:54    254
 09   15.1   18.9  16:01   10.9  06:19    3.2    0.0   0.00    4.2   16.1  00:49    260
 10   15.7   18.8  15:40   12.1  05:54    2.6    0.0   0.00    4.3   27.4  13:40    261
 11   15.7   18.3  16:20   12.8  07:30    2.6    0.0   0.00    3.3   14.5  09:30    127
 12   16.8   20.4  16:54   13.8  05:23    1.5    0.0   0.00    4.1   17.7  07:37    283
 13   15.8   18.7  14:01   12.3  06:42    2.5    0.0   0.00    3.8   14.5  15:46    258
 14   17.1   22.2  17:38   12.7  05:37    1.2    0.0   0.00    3.3   14.5  14:22    287
 15   16.9   18.8  12:00   14.4  07:23    1.4    0.0   0.00    3.5   17.7  12:20    238
 16   15.9   18.8  18:41   13.4  02:20    2.4    0.0   0.00    4.1   16.1  14:07    230
 17   16.4   19.8  17:37   13.1  06:28    1.9    0.0   0.00    4.5   19.3  17:20    247
 18   16.6   18.4  14:06   14.2  03:29    1.7    0.0   0.00    4.1   19.3  06:13    168
 19   14.7   18.9  15:46   11.8  23:59    3.7    0.0   0.00   15.1   53.1  03:41     40
 20   12.5   16.4  13:22   10.2  06:50    5.9    0.0   0.00   13.4   51.5  08:36     45
 21   12.9   16.3  15:45    8.1  07:14    5.5    0.0   0.00    5.2   17.7  15:29    243
 22   14.4   17.3  14:06   10.7  07:02    4.0    0.0   0.00    7.4   29.0  15:30    254
 23   15.2   19.5  10:45   10.8  06:39    3.2    0.0   0.00    4.6   24.1  09:45    256
 24   15.5   18.6  14:29   11.6  06:38    2.8    0.0   0.00    3.8   16.1  15:28    252
 25   15.8   18.6  14:46   12.5  06:57    2.5    0.0   0.00    6.3   24.1  17:40    241
 26   13.8   16.1  00:00   11.2  23:50    4.5    0.0   0.14    6.6   27.4  17:19     35
 27    9.0   11.7  01:55    6.6  12:30    9.3    0.0   0.72    7.7   43.5  11:00      8
 28   10.9   15.3  17:30    5.8  05:30    7.4    0.0   0.00    5.6   22.5  13:41    282
 29   13.4   16.7  15:19    9.2  05:51    4.9    0.0   0.00    6.9   33.8  16:30    246
 30   15.2   17.1  14:25   13.2  07:15    3.1    0.0   0.02    6.9   32.2  10:29    223
---------------------------------------------------------------------------------------
      14.8   22.2     14    5.8     28  109.8    0.0   2.00    5.3   53.1     19    317
    
