                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.6   23.7  15:52   17.8  04:18    0.0    2.3   0.00    4.0   12.9  00:51    212
 02   21.9   24.7  15:02   18.1  06:13    0.0    3.6   0.00    3.3   14.5  21:42    233
 03   22.5   25.5  17:45   20.3  06:44    0.0    4.2   0.00    4.3   29.0  21:14    213
 04   20.7   22.8  15:14   18.4  05:59    0.0    2.4   0.00    4.3   24.1  17:05    197
 05   20.6   23.0  19:09   17.9  07:33    0.0    2.3   0.00    6.0   35.4  03:37    302
 06   21.0   23.8  13:59   18.1  04:22    0.0    2.7   0.00    5.5   29.0  15:28    208
 07   19.9   21.4  15:54   18.8  04:58    0.0    1.5   0.00    5.0   20.9  13:03    210
 08   21.0   23.7  14:32   17.4  04:31    0.0    2.6   0.00    4.2   17.7  15:14    223
 09   21.4   23.3  13:24   18.9  06:04    0.0    3.0   0.00    4.2   17.7  07:11    197
 10   22.4   25.7  14:59   18.9  05:35    0.0    4.1   0.00    3.5   19.3  16:15    224
 11   23.4   26.5  16:18   19.9  06:21    0.0    5.1   0.00    3.5   14.5  19:36    205
 12   24.3   27.7  17:32   20.6  05:26    0.0    6.0   0.00    3.3   14.5  09:36    190
 13   24.7   27.7  17:32   21.3  05:37    0.0    6.4   0.00    3.6   19.3  21:31    233
 14   25.6   28.8  15:48   21.7  03:17    0.0    7.3   0.00    4.1   20.9  12:34    244
 15   25.9   28.4  18:12   22.2  04:27    0.0    7.5   0.04    2.5   11.3  01:47    227
 16   26.9   29.4  18:24   24.2  06:20    0.0    8.6   0.00    3.0   17.7  00:00    231
 17   26.4   28.6  18:04   23.3  04:40    0.0    8.0   0.00    3.1   17.7  20:30    232
 18   25.3   28.9  15:59   22.0  05:56    0.0    7.0   0.00    3.1   16.1  04:28    177
 19   24.3   27.7  18:29   21.1  06:42    0.0    6.0   0.00    4.4   16.1  15:48    184
 20   26.0   28.6  14:00   22.8  05:31    0.0    7.7   0.00    5.4   24.1  18:00    236
 21   25.2   27.8  15:20   22.1  06:20    0.0    6.9   0.00    3.6   19.3  16:20    228
 22   25.2   29.2  16:40   22.3  06:00    0.0    6.9   0.00    3.1   17.7  19:10    211
 23   25.7   28.4  14:50   23.3  05:31    0.0    7.4   0.00    4.9   25.7  16:29    236
 24   25.3   28.2  16:05   22.4  06:56    0.0    7.0   0.00    3.6   25.7  17:16    232
 25   24.1   25.6  13:04   22.7  08:29    0.0    5.8   0.10    2.9   19.3  03:57    216
 26   24.8   29.1  15:59   21.8  05:51    0.0    6.5   0.00    3.2   22.5  07:57    145
 27   24.5   27.6  18:19   21.4  06:13    0.0    6.1   0.00    3.3   14.5  12:06    207
 28   23.3   31.6  16:55   17.7  23:59    0.0    5.0   0.42    7.6   43.5  18:00    161
 29   21.5   27.4  19:36   17.2  00:35    0.0    3.2   0.00   10.2   41.8  19:53    288
 30   20.7   25.0  18:53   18.2  22:48    0.0    2.4   0.00    9.6   51.5  20:36     80
---------------------------------------------------------------------------------------
      23.5   31.6     28   17.2     29    0.0  155.3   0.56    4.4   51.5     30    221
    
