                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.2   22.3  10:40   17.2  03:21    0.0    1.9   0.00    6.3   24.1  00:58    220
 02   21.8   24.6  16:19   18.1  06:35    0.0    3.5   0.00    4.3   16.1  14:35    205
 03   23.0   26.2  17:37   18.9  06:33    0.0    4.6   0.00    4.5   19.3  13:38    250
 04   23.5   26.7  16:04   19.7  05:51    0.0    5.2   0.00    4.0   14.5  18:22    244
 05   23.4   25.7  15:16   19.7  06:47    0.0    5.0   0.00    4.1   14.5  13:35    164
 06   24.3   27.3  17:12   20.8  04:32    0.0    6.0   0.00    4.1   14.5  06:49    109
 07   24.6   26.4  15:31   21.6  04:30    0.0    6.2   0.00    4.8   24.1  14:53    101
 08   26.6   32.3  10:26   23.5  23:39    0.0    8.2   0.04    5.5   40.2  11:59     59
 09   24.3   26.6  15:52   22.2  06:27    0.0    6.0   0.00    4.8   22.5  17:20    131
 10   24.8   27.9  17:30   21.7  06:45    0.0    6.5   0.00    4.3   20.9  09:53    161
 11   24.9   27.5  17:46   22.4  06:42    0.0    6.5   0.00    4.6   19.3  01:05    142
 12   25.4   29.2  14:45   22.2  06:02    0.0    7.0   0.00    4.1   19.3  19:11    194
 13   25.6   28.4  14:01   23.1  05:53    0.0    7.3   0.00    5.2   32.2  13:45    214
 14   25.3   27.5  13:00   23.8  06:27    0.0    7.0   0.00    3.4   19.3  13:27    233
 15   25.7   28.4  14:39   22.4  04:42    0.0    7.4   0.00    4.4   19.3  19:36    223
 16   25.7   27.9  09:12   23.2  06:45    0.0    7.3   0.00    4.3   24.1  15:50    153
 17   25.1   27.2  10:48   22.2  05:13    0.0    6.7   0.00    4.8   20.9  11:44    158
 18   25.9   28.9  12:45   23.4  05:26    0.0    7.6   0.00    5.0   24.1  15:41    213
 19   25.5   27.4  17:31   23.3  06:36    0.0    7.2   0.00    6.1   25.7  12:31    175
 20   25.2   27.2  13:13   23.8  06:24    0.0    6.9   0.10   11.1   53.1  08:11     53
 21   24.5   26.3  19:13   22.1  07:10    0.0    6.2   0.00    4.5   19.3  13:48    171
 22   25.3   28.1  15:02   22.4  05:13    0.0    7.0   0.00    5.3   20.9  10:24    213
 23   24.7   27.7  08:53   21.2  23:56    0.0    6.4   0.10    5.3   22.5  02:30    140
 24   23.8   25.8  13:20   20.9  04:26    0.0    5.5   0.00    6.4   24.1  14:10    135
 25   23.8   25.6  14:45   22.4  21:55    0.0    5.5   0.00    6.2   24.1  00:22    178
 26   23.6   25.8  16:09   21.2  05:44    0.0    5.2   0.00    5.5   22.5  05:56    293
 27   25.3   28.2  17:02   21.5  06:52    0.0    6.9   0.00    5.2   22.5  14:30    249
 28   25.5   28.5  13:15   22.9  06:35    0.0    7.2   0.00    3.7   19.3  14:51    176
 29   25.7   28.9  16:56   22.2  06:42    0.0    7.4   0.00    4.5   19.3  18:53    239
 30   25.6   27.4  09:10   22.8  06:45    0.0    7.3   0.00    3.9   19.3  13:15    139
 31   26.1   29.1  09:49   23.7  03:51    0.0    7.8   0.00    6.8   30.6  11:23     65
---------------------------------------------------------------------------------------
      24.7   32.3     08   17.2     01    0.0  196.5   0.24    5.1   53.1     20    148
    
