                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   21.9   24.6  15:53   18.8  03:13    0.0    3.5   0.00    5.9   25.7  23:50    176
 02   21.7   24.7  16:30   16.1  06:20    0.0    3.4   0.76    8.1   33.8  22:11    194
 03   22.0   24.1  14:56   19.4  04:41    0.0    3.7   0.02    6.2   22.5  00:21    101
 04   22.5   25.1  11:17   19.6  05:22    0.0    4.2   0.12    5.6   27.4  14:07     49
 05   24.7   27.7  16:33   20.8  05:32    0.0    6.3   0.00    5.1   22.5  16:28    249
 06   23.5   25.3  09:47   20.9  23:56    0.0    5.2   1.86    4.2   19.3  12:51     98
 07   21.9   24.3  15:58   19.8  04:43    0.0    3.6   2.16    5.0   22.5  16:18    216
 08   21.9   23.7  14:19   19.4  07:00    0.0    3.6   0.02    5.0   20.9  16:21    188
 09   19.9   23.6  11:40   16.1  18:51    0.0    1.6   0.78    6.1   32.2  14:09     22
 10   19.2   22.4  17:13   15.6  06:52    0.0    0.9   0.00    6.5   22.5  04:40    359
 11   21.5   23.9  14:34   17.1  07:41    0.0    3.2   0.00    7.1   27.4  16:06    145
 12   21.3   23.2  00:54   18.3  09:25    0.0    3.0   0.12    6.5   22.5  02:20    175
 13   22.9   26.2  14:29   19.4  04:05    0.0    4.5   0.00    7.2   30.6  15:50    244
 14   22.4   26.3  13:13   18.4  22:13    0.0    4.1   0.04    7.1   33.8  21:49      2
 15   15.5   18.9  00:24   13.7  20:04    2.9    0.0   0.46    8.1   40.2  08:29     16
 16   17.1   21.2  17:50   12.9  06:57    1.2    0.0   0.00    6.3   30.6  22:42    306
 17   18.7   23.6  13:08   13.2  02:35    0.0    0.4   0.00    9.1   37.0  15:40    300
 18   18.5   20.2  16:28   16.1  12:32    0.0    0.2   0.06    8.7   30.6  11:56     36
 19   19.0   21.7  13:46   17.3  06:00    0.0    0.7   0.64    6.4   29.0  17:03     11
 20   19.2   22.9  17:46   14.8  06:39    0.0    0.9   0.20    6.4   27.4  18:42    347
 21   20.8   24.6  17:08   16.7  05:05    0.0    2.4   0.00    4.7   20.9  18:15    267
 22   20.7   22.6  17:47   18.4  06:57    0.0    2.4   0.00    3.9   22.5  11:40     56
 23   21.3   23.2  10:12   17.8  07:00    0.0    2.9   0.00    4.7   17.7  15:33    177
 24   22.0   25.3  14:41   18.0  07:28    0.0    3.6   0.00    4.0   19.3  15:39    259
 25   21.5   24.4  14:57   18.8  21:11    0.0    3.2   0.06    7.7   45.1  20:29     37
 26   20.1   22.7  14:23   17.2  06:41    0.0    1.7   0.02    4.8   35.4  00:38     17
 27   21.3   24.2  15:33   17.8  08:01    0.0    3.0   0.00    4.7   20.9  00:22    291
 28   21.4   24.2  17:35   18.2  07:40    0.0    3.0   0.00    4.3   17.7  14:18    293
 29   21.7   24.8  16:00   18.5  07:45    0.0    3.3   0.00    4.0   14.5  13:54    278
 30   20.9   24.1  13:35   18.3  07:46    0.0    2.5   0.06    3.8   22.5  19:58    335
---------------------------------------------------------------------------------------
      20.9   27.7     05   12.9     16    4.1   81.0   7.38    5.9   45.1     25    359
    
