                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   19.6   21.7  17:30   18.3  07:47    0.0    1.3   0.16    3.1   17.7  17:40    327
 02   20.8   22.9  14:56   19.2  09:27    0.0    2.5   0.00    3.4   12.9  00:49    346
 03   22.4   25.3  17:35   20.2  00:11    0.0    4.1   0.00    2.7   16.1  03:40    301
 04   21.2   23.1  16:57   19.7  07:08    0.0    2.9   0.00    3.3   19.3  09:26     93
 05   22.2   25.4  14:59   18.3  07:42    0.0    3.8   0.00    4.6   24.1  13:50    259
 06   21.8   24.5  16:25   19.9  02:38    0.0    3.4   0.00    3.9   25.7  23:30    354
 07   18.8   22.2  13:19   16.3  05:40    0.0    0.5   0.00    8.3   45.1  09:46     47
 08   19.3   23.4  16:10   15.5  06:54    0.0    1.0   0.00    4.2   14.5  00:00    315
 09   20.3   23.1  14:22   16.9  07:32    0.0    2.0   0.00    4.6   17.7  15:39    249
 10   20.7   22.7  10:34   17.8  05:46    0.0    2.4   0.00    5.2   24.1  16:18    200
 11   21.4   24.3  15:03   18.3  04:51    0.0    3.1   0.00    6.2   27.4  15:57    253
 12   20.9   24.3  15:26   17.4  07:39    0.0    2.6   0.00    3.8   19.3  18:42    273
 13   21.0   24.2  17:46   17.9  07:28    0.0    2.7   0.00    3.5   14.5  13:10    333
 14   20.6   22.6  13:27   18.2  03:37    0.0    2.3   0.00    3.0   17.7  11:43    104
 15   21.6   24.2  16:00   18.9  07:09    0.0    3.3   0.00    4.0   20.9  14:49    238
 16   21.4   24.0  13:22   18.9  08:21    0.0    3.1   0.00    3.8   14.5  11:56    290
 17   20.8   24.1  15:50   17.5  07:40    0.0    2.5   0.00    4.2   17.7  03:09    318
 18   20.7   24.1  14:58   16.9  21:01    0.0    2.4   0.54    5.2   35.4  20:36    345
 19   17.6   19.4  18:04   15.7  01:06    0.8    0.0   3.70    9.1   38.6  17:54     24
 20   19.8   22.6  17:06   17.7  02:46    0.0    1.5   0.04    7.8   33.8  03:00     37
 21   20.5   24.1  14:37   16.8  08:19    0.0    2.2   0.00    4.3   22.5  15:30    295
 22   18.4   22.0  15:33   15.6  07:39    0.0    0.0   0.04    5.0   22.5  01:34    328
 23   17.2   20.7  15:26   13.9  08:18    1.1    0.0   0.00    5.4   24.1  14:57    310
 24   18.2   22.4  15:13   14.4  06:37    0.2    0.0   0.00    3.5   16.1  01:11    329
 25   18.8   22.6  15:30   15.3  06:41    0.0    0.5   0.00    3.6   16.1  07:10     21
 26   19.0   22.7  17:41   16.2  05:44    0.0    0.7   0.00    2.4   11.3  15:57    357
 27   19.3   22.6  16:43   15.9  08:20    0.0    0.9   0.02    4.1   22.5  12:43     24
 28   19.0   22.2  14:15   16.3  23:57    0.0    0.7   0.00    5.0   24.1  17:25    320
 29   18.6   22.9  16:27   15.0  06:21    0.0    0.3   0.00    6.0   20.9  06:04    346
 30   17.2   19.6  15:12   14.8  07:52    1.1    0.0   0.00    5.9   25.7  23:36      5
 31   16.0   19.5  12:37   14.0  07:57    2.3    0.0   0.00    5.5   29.0  00:02     39
---------------------------------------------------------------------------------------
      19.8   25.4     05   13.9     23    5.6   52.4   4.50    4.7   45.1     07    349
    
