                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.7   20.4  15:21   12.7  04:48    1.6    0.0   0.00    4.3   16.1  18:46    321
 02   19.1   21.8  13:38   16.8  07:54    0.0    0.8   0.00    4.9   29.0  15:15    254
 03   18.7   21.9  14:38   15.6  07:01    0.0    0.4   0.00    4.3   22.5  17:08    267
 04   18.8   22.3  14:19   15.3  23:49    0.0    0.4   0.26    4.4   38.6  20:05    344
 05   15.4   20.3  12:20   11.4  21:39    3.0    0.0   0.52    6.1   25.7  13:29    351
 06   12.9   17.5  14:19    8.7  06:40    5.4    0.0   0.02    8.4   49.9  12:27    339
 07   12.3   17.0  16:42    8.4  04:57    6.0    0.0   0.00    5.3   24.1  03:48      7
 08   12.6   15.4  11:11    9.6  03:45    5.8    0.0   0.18    4.7   35.4  21:10    350
 09   11.5   14.6  11:36    9.6  22:31    6.8    0.0   0.00    6.7   25.7  09:32     10
 10   12.0   16.1  14:02    7.8  06:29    6.4    0.0   0.00    4.6   17.7  06:33    337
 11   13.8   17.6  10:44   10.8  06:13    4.5    0.0   0.00    4.0   16.1  08:36    352
 12   14.9   18.9  14:55   11.2  06:59    3.5    0.0   0.00    4.3   14.5  02:18    349
 13   13.4   16.7  13:21   10.7  06:40    5.0    0.0   0.00   11.1   48.3  03:16      9
 14   12.0   16.6  13:14    8.1  04:12    6.3    0.0   0.00    5.0   20.9  00:55    341
 15   11.7   16.2  14:47    7.9  04:51    6.7    0.0   0.00    4.6   14.5  05:09    350
 16   12.6   16.6  15:43    8.6  06:34    5.7    0.0   0.00    4.3   14.5  04:06    340
 17   14.2   19.7  16:16    9.2  07:21    4.1    0.0   0.00    3.9   14.5  01:12    345
 18   14.8   19.2  14:53   12.3  01:21    3.5    0.0   0.00    4.0   11.3  03:00    355
 19   13.6   17.6  16:04   10.4  06:52    4.7    0.0   0.00    4.4   14.5  15:12      5
 20   14.1   18.3  14:56   11.2  01:35    4.3    0.0   0.00    4.4   16.1  07:20    335
 21   13.9   17.8  12:59   10.5  01:35    4.5    0.0   0.00    4.2   11.3  06:06    359
 22   14.9   18.5  14:58   10.8  04:33    3.4    0.0   0.00    5.6   25.7  13:27    278
 23   16.0   19.3  12:22   13.1  23:59    2.3    0.0   0.00    6.1   24.1  09:36    301
 24   15.2   19.2  15:03   12.1  05:46    3.2    0.0   0.00    3.2   16.1  14:21    340
 25   14.9   17.7  10:41   10.9  23:31    3.4    0.0   0.30    3.8   17.7  13:19      9
 26   11.4   15.0  15:26    8.9  23:42    6.9    0.0   0.00    5.4   22.5  07:51      4
 27   10.7   14.5  15:02    6.7  04:16    7.7    0.0   0.00    5.1   19.3  21:27    332
 28   12.2   15.9  10:32    9.7  23:59    6.1    0.0   0.00    5.9   25.7  01:06    356
 29   10.3   12.1  12:03    8.6  23:55    8.1    0.0   0.00    7.8   32.2  10:16     16
 30    8.7   12.4  16:03    5.6  06:03    9.7    0.0   0.00    4.5   16.1  08:49    349
---------------------------------------------------------------------------------------
      13.8   22.3     04    5.6     30  138.2    1.6   1.28    5.2   49.9     06    347
    
