                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.2   15.2  14:10    8.8  00:00    6.1    0.0   0.12    2.5   27.4  23:58    163
 02   12.7   15.7  12:08    9.9  22:28    5.6    0.0   0.06   10.4   56.3  05:45    269
 03   14.6   19.8  15:33   10.8  00:00    3.7    0.0   0.02    7.7   43.5  10:11    273
 04   13.3   15.4  14:28   11.5  02:12    5.1    0.0   0.00    4.1   33.8  18:26    323
 05   12.0   14.9  15:42    9.8  02:42    6.3    0.0   0.24    4.9   32.2  12:47    305
 06   12.2   18.1  16:08    7.6  07:32    6.1    0.0   0.00    5.8   40.2  16:15    274
 07   11.0   14.1  17:08    8.4  03:36    7.3    0.0   0.00    4.8   22.5  04:49     17
 08   11.6   15.3  15:16    7.9  04:08    6.7    0.0   0.00    4.9   27.4  16:55    260
 09   12.7   15.7  12:30    9.3  07:16    5.6    0.0   0.00    4.3   25.7  13:55    260
 10   14.8   17.4  14:37   12.4  07:21    3.6    0.0   0.04    4.3   45.1  21:54    233
 11   14.7   19.4  13:52   12.3  07:02    3.6    0.0   0.00    6.8   41.8  13:08    251
 12   14.3   20.3  15:35   10.3  23:49    4.0    0.0   0.00    5.8   32.2  17:22    302
 13   12.3   15.4  15:41    9.8  02:02    6.1    0.0   0.00    4.5   24.1  16:12    317
 14   12.7   15.2  14:29    9.3  07:18    5.7    0.0   0.00    4.1   20.9  18:12    260
 15   15.2   20.1  14:37   11.8  23:59    3.2    0.0   0.00    6.6   40.2  15:54    263
 16   13.1   16.4  15:49    9.4  07:23    5.2    0.0   0.00    4.3   20.9  16:51    312
 17   11.1   15.3  11:21    7.8  05:45    7.2    0.0   0.00    6.6   37.0  15:50    259
 18    9.8   12.7  13:50    6.1  07:00    8.5    0.0   0.00    5.3   20.9  11:30    290
 19   10.7   14.6  12:20    6.8  06:30    7.7    0.0   0.00    8.4   48.3  23:40    291
 20    8.4   13.2  16:33    4.1  05:30    9.9    0.0   1.14    7.8   54.7  00:20    348
 21    9.4   13.0  14:13    4.8  07:05    8.9    0.0   0.00    8.1   53.1  14:55     23
 22   10.2   14.8  18:05    4.5  06:50    8.2    0.0   0.00    6.9   48.3  03:13     18
 23   10.7   13.9  13:25    7.8  05:37    7.6    0.0   0.00    4.1   20.9  07:00      4
 24    9.4   11.9  08:09    7.8  12:11    8.9    0.0   3.32   19.7   80.5  13:16     23
 25   11.0   12.8  13:40    9.1  22:55    7.3    0.0   0.02    9.4   51.5  00:01     17
 26   11.3   15.6  14:27    7.4  07:28    7.1    0.0   0.08    3.5   16.1  03:14    342
 27   12.1   14.9  16:11    9.1  07:38    6.2    0.0   0.00    4.3   19.3  02:28    303
 28   13.7   16.3  09:49   11.0  06:02    4.6    0.0   0.00    3.3   19.3  02:20     95
 29   13.4   15.7  05:05   10.4  03:52    5.0    0.0   0.00    3.6   25.7  05:03    155
 30   14.4   20.2  15:34   10.7  04:23    3.9    0.0   0.00    6.6   40.2  16:38    262
 31   12.2   18.2  15:41    9.9  23:13    6.1    0.0   0.00    8.0   49.9  11:10    314
---------------------------------------------------------------------------------------
      12.2   20.3     12    4.1     20  191.2    0.0   5.04    6.2   80.5     24    312
    
