                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.4   16.1  14:26   10.5  18:32    5.9    0.0   0.18    6.7   25.7  17:39    338
 02   13.4   17.8  16:50    8.4  06:12    5.0    0.0   0.00    4.0   19.3  00:48    291
 03   15.9   18.7  11:42   11.3  07:10    2.5    0.0   0.00    3.8   20.9  04:52    314
 04   16.3   18.3  17:00   14.5  04:19    2.0    0.0   0.00    2.9   17.7  15:27    295
 05   18.4   22.6  17:46   15.6  08:50    0.0    0.1   0.10    5.9   49.9  10:21     23
 06   17.4   20.4  18:15   14.9  05:42    0.9    0.0   0.52    2.6   27.4  07:41    314
 07   17.8   20.5  15:07   16.1  23:33    0.5    0.0   0.40    2.3   19.3  20:09    227
 08   16.8   19.7  15:20   14.7  06:51    1.5    0.0   0.06    2.3   14.5  23:38    252
 09   16.4   18.7  11:16   14.5  06:26    1.9    0.0   0.12    1.7   20.9  11:56    129
 10   17.2   20.1  15:41   14.9  03:06    1.1    0.0   0.00    1.6   12.9  13:30    234
 11   17.7   20.3  15:28   15.2  06:51    0.6    0.0   0.00    4.9   27.4  14:08    241
 12   17.1   20.7  14:06   13.4  23:57    1.2    0.0   0.62    3.9   30.6  22:33    242
 13   12.5   15.3  19:43    9.9  06:34    5.9    0.0   1.82    4.9   25.7  00:05     67
 14   13.4   16.7  15:23   10.1  06:28    5.0    0.0   0.00    5.5   20.9  07:49      3
 15   15.6   19.7  17:44   11.8  07:00    2.7    0.0   0.00    3.1   20.9  04:45    275
 16   16.2   18.6  14:58   13.6  03:31    2.1    0.0   0.00    2.7   14.5  02:15    331
 17   17.8   20.4  11:54   14.2  04:02    0.5    0.0   0.00    2.6   16.1  07:56    257
 18   17.9   20.8  16:03   14.5  05:45    0.4    0.0   0.00    3.5   20.9  08:35    105
 19   18.7   22.8  17:16   14.7  06:26    0.0    0.4   0.00    2.6   12.9  14:10    277
 20   18.5   23.4  11:37   15.6  05:19    0.0    0.1   0.00    3.9   27.4  11:17    104
 21   17.8   20.3  17:32   15.2  05:48    0.5    0.0   0.00    2.8   11.3  10:00    229
 22   18.2   21.2  14:55   15.4  05:03    0.1    0.0   0.00    2.6   14.5  00:15    254
 23   19.1   21.9  14:18   15.3  06:19    0.0    0.7   0.00    3.5   20.9  13:48    245
 24   19.9   23.3  17:11   17.4  06:32    0.0    1.6   0.00    2.5   12.9  00:12    238
 25   20.3   24.4  14:58   16.3  06:30    0.0    2.0   0.00    4.6   27.4  12:19     57
 26   20.8   23.7  12:50   17.9  05:19    0.0    2.5   0.10    8.0   37.0  05:44     45
 27   21.4   25.3  15:12   19.3  06:53    0.0    3.1   0.00   13.0   43.5  04:02     41
 28   20.7   22.6  17:12   19.3  04:57    0.0    2.4   0.02    6.9   40.2  00:36     74
 29   20.6   23.2  13:36   18.4  08:31    0.0    2.3   0.18    3.8   27.4  17:15    231
 30   20.5   23.1  16:06   18.3  23:26    0.0    2.2   0.00    3.2   17.7  14:05    237
 31   19.7   22.2  16:37   16.5  07:04    0.0    1.3   0.00    3.5   14.5  16:11    205
---------------------------------------------------------------------------------------
      17.6   25.3     27    8.4     02   40.4   18.6   4.12    4.1   49.9     05      2
    
