                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   28.1   31.6  16:52   25.0  05:26    0.0    9.8   0.00    2.3   16.1  19:08    235
 02   28.7   31.6  17:14   26.1  06:37    0.0   10.4   0.00    2.0   12.9  19:00    231
 03   29.5   32.1  13:47   26.9  04:04    0.0   11.2   0.00    2.1   12.9  01:45    209
 04   29.9   32.6  16:42   26.6  07:04    0.0   11.6   0.00    3.1   19.3  02:46    280
 05   29.6   33.0  14:05   27.2  04:48    0.0   11.3   0.00    2.0   16.1  00:03    193
 06   28.0   31.2  16:10   25.2  06:31    0.0    9.6   0.00    2.3   14.5  14:50    243
 07   28.4   30.9  14:50   26.2  06:40    0.0   10.0   0.00    4.1   20.9  14:00    231
 08   27.4   29.9  18:50   25.6  07:40    0.0    9.1   0.00    3.6   20.9  12:20    157
 09   25.8   29.0  13:59   21.9  19:01    0.0    7.5   0.40    7.7   46.7  23:59     25
 10   24.6   26.9  10:46   22.6  23:45    0.0    6.3   0.00    7.7   46.7  00:00     71
 11   24.6   26.8  09:11   21.7  06:41    0.0    6.3   0.00    3.6   16.1  14:36    222
 12   26.3   29.1  15:43   23.3  06:32    0.0    7.9   0.00    5.4   24.1  15:34    238
 13   25.6   26.9  13:09   23.7  07:11    0.0    7.3   0.00    4.8   24.1  15:31     61
 14   24.8   26.7  15:37   22.7  05:30    0.0    6.5   0.00    4.3   29.0  00:23    162
 15   25.1   27.1  10:56   22.4  07:04    0.0    6.8   0.00    4.7   19.3  08:51    202
 16   25.8   28.9  16:29   22.2  06:34    0.0    7.5   0.00    3.7   19.3  17:45    230
 17   23.7   28.2  13:30   19.9  17:20    0.0    5.3   0.24    5.2   40.2  15:07    347
 18   23.5   27.2  18:09   19.6  05:57    0.0    5.2   0.04    4.5   19.3  00:44    300
 19   25.2   28.3  14:53   21.7  04:59    0.0    6.8   0.00    3.6   20.9  00:25    258
 20   26.4   29.4  17:56   22.8  06:20    0.0    8.1   0.00    3.2   20.9  03:00    304
 21   26.8   29.4  12:28   23.2  06:06    0.0    8.4   0.00    3.7   22.5  01:32    320
 22   25.7   28.3  14:55   22.8  06:49    0.0    7.4   0.00    2.3   12.9  17:53    263
 23   25.5   27.8  16:20   22.3  06:28    0.0    7.2   0.00    3.0   11.3  13:38    275
 24   25.6   27.8  11:55   23.7  23:54    0.0    7.2   0.28    3.8   19.3  14:37    185
 25   23.1   25.3  00:52   21.1  06:06    0.0    4.7   1.06    5.1   22.5  02:09    163
 26   22.4   24.9  13:29   19.3  03:41    0.0    4.0   0.00    4.8   25.7  17:28    244
 27   24.5   26.3  16:31   21.7  06:23    0.0    6.1   0.00    4.4   16.1  01:26    205
 28   25.8   28.1  16:32   22.6  07:29    0.0    7.5   0.00    5.9   32.2  17:27    236
 29   25.8   27.2  13:28   23.8  07:02    0.0    7.5   0.00    4.7   22.5  02:00    159
 30   24.4   26.2  10:08   22.7  07:46    0.0    6.1   0.02    4.3   19.3  15:51    167
 31   23.6   25.6  16:33   21.4  09:26    0.0    5.3   0.04    3.7   22.5  08:07    346
---------------------------------------------------------------------------------------
      25.9   33.0     05   19.3     26    0.0  235.8   2.08    4.0   46.7     09    236
    
