                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.0   15.1  13:24    9.5  23:52    6.3    0.0   0.00    4.6   17.7  20:57    350
 02   13.0   17.7  14:55    8.8  02:18    5.3    0.0   0.00    4.9   22.5  16:36    321
 03   14.7   18.3  15:07   10.9  05:10    3.7    0.0   0.00    4.3   24.1  09:02    350
 04   15.3   19.6  13:33   12.1  03:26    3.0    0.0   0.00    4.2   19.3  23:08    337
 05   14.7   18.2  14:05   12.2  04:34    3.7    0.0   0.00    3.6   17.7  15:31    332
 06   14.5   18.7  12:26   12.2  21:26    3.8    0.0   0.00    4.7   25.7  06:41    344
 07   12.8   16.6  15:50   10.6  20:48    5.5    0.0   0.00    3.9   22.5  22:21    342
 08   13.1   16.4  15:55   10.6  23:22    5.2    0.0   0.00    4.1   20.9  18:44    331
 09   13.1   18.3  14:03    8.8  06:58    5.2    0.0   0.00    4.3   25.7  01:09    344
 10   12.4   15.4  11:44   10.1  22:57    6.0    0.0   0.00    4.5   20.9  05:56    342
 11   11.6   14.9  15:54    8.5  08:25    6.7    0.0   0.00    3.3   16.1  00:13    347
 12   12.3   14.3  14:14    9.9  08:55    6.0    0.0   0.00    3.9   20.9  02:04     10
 13   11.6   13.2  00:53    9.9  22:21    6.7    0.0   0.22    5.0   54.7  22:25     24
 14   11.4   14.2  15:27    9.7  02:45    7.0    0.0   0.22   10.8   59.5  01:04     25
 15   11.4   15.3  14:57    8.6  07:21    6.9    0.0   0.00    4.0   19.3  06:18    334
 16   12.9   14.9  12:40   10.2  08:03    5.4    0.0   0.00    3.1   19.3  16:06    336
 17   12.5   16.1  12:36    9.9  08:08    5.8    0.0   0.00    5.0   22.5  01:36    344
 18   12.3   15.2  14:10    9.2  05:46    6.1    0.0   0.00    6.7   30.6  16:50    276
 19   13.7   17.8  14:03   10.1  23:59    4.6    0.0   0.00    6.1   38.6  15:03    279
 20   11.3   15.1  15:49    8.7  05:14    7.0    0.0   0.00    4.8   20.9  07:31    342
 21   12.3   16.6  14:08    8.5  04:04    6.0    0.0   0.00    5.4   35.4  14:33    294
 22   12.9   16.9  14:04    9.8  03:47    5.5    0.0   0.00    3.2   12.9  07:34    357
 23   13.8   17.7  15:39   11.0  07:06    4.5    0.0   0.00    2.8   16.1  16:41    345
 24   13.6   17.7  11:44   10.4  05:50    4.7    0.0   0.00    2.5    9.7  02:51    351
 25   13.1   16.3  13:10   11.2  18:44    5.2    0.0   0.00    4.1   20.9  11:35     19
 26   13.0   15.9  13:30   10.9  23:47    5.3    0.0   0.00    3.0   19.3  13:09    263
 27   11.9   15.6  14:16    8.9  08:19    6.4    0.0   0.00    4.4   16.1  03:53    330
 28   11.1   13.8  12:49    8.6  04:35    7.2    0.0   0.00    3.9   12.9  00:02    342
 29   10.5   14.4  11:59    7.8  07:55    7.9    0.0   0.00    4.2   16.1  21:13    349
 30   13.0   19.9  20:51    6.8  07:02    5.3    0.0   0.00    5.7   54.7  22:47      8
 31   15.4   18.3  03:13   11.7  23:48    3.0    0.0   0.00    1.9   40.2  00:22     41
---------------------------------------------------------------------------------------
      12.8   19.9     30    6.8     30  171.0    0.0   0.44    4.4   59.5     14    343
    
